Handle,Title,10K Weight (g),14K Weight (g),18K Weight (g),Diamond Shapes,Total Diamonds,Diamond Weight (each),Total Diamond Weight,Size,Dimensions,10K Price,14K Price,18K Price,Diamond Price,Gold Price (14K),Making Charge,GST,Total Price (14K)
"elegant-radiant-side-accent-ring","Elegant Radiant Side Accent Ring",2.736,3.06,3.6,"Emerald, radiant","2, 1","0.1, 1.5","0.2,1.5ct","7","3.5*2.5, 7.5*5.5",69765,79042,92303,49165,23826,3749,2302,79042
"enchanted-split-band-diamond-ring","Enchanted Split Band Diamond Ring",2.888,3.23,3.8,"Princess","1","1.04","1.04ct","7","5.5*5.5",51861,61653,75650,30750,25150,3957,1796,61653
"radiant-heart-trio-ring","Radiant Heart Trio Ring",2.28,2.55,3,"Pear, Pear","1, 2","1.2, 0.165","1.2, 0.33ct","7","9*6, 5*3",60566,68296,79347,43329,19855,3124,1989,68296
"trio-sparkle-cushion-ring","Trio Sparkle Cushion Ring",2.394,2.6775,3.15,"Cushion, trillion","2, 1","0.305, 1.78","0.61, 1.78ct","7","4.75*4.75, 7*7",84725,92841,104445,66010,20848,3280,2704,92841
"minimalist-solitaire-ring","Minimalist Solitaire Ring",3.116,3.485,4.1,"Round","1","1.5","1.5ct","7","7.4",65144,75709,90813,42100,27135,4269,2205,75709
"imperial-double-halo-solitaire-ring","Imperial Double Halo solitaire Ring",3.306,3.6975,4.35,"Round, Round, Round","1, 16, 61","1, 0.05, 0.01","1, 0.8, 0.61ct","7","6.50, 2.30, 1.30",76509,87719,103743,51845,28790,4529,2555,87719
"elegant-double-row-emerald-ring","Elegant Double Row Emerald Ring",4.028,4.505,5.3,"Princess, Round","1, 34","1.61, 0.025","1.61, 0.850ct","7","7, 1.80",88711,102368,121891,58790,35077,5519,2982,102368
"double-band-solitaire-diamond-ring","Double Band Solitaire Diamond Ring",2.85,3.1875,3.75,"Round, Round","1, 42","1.45, 0.01","1.45, 0.42ct","7","7.30, 1.3",71004,80668,94481,49595,24819,3905,2350,80668
"the-lumina-halo-ring","The Lumina Halo Ring",2.5916,2.8985,3.41,"Round, Round, Round","1, 46, 31","2, 0.01, 0.012","2, 0.046, 0.372ct","13.25",,101481,110268,122830,80937,22569,3551,3212,110268
"the-constellation-ring","The constellation ring",1.672,1.87,2.2,"Round, Round, Round, Round","1, 2, 4, 24","0.146, 0.015, 0.05, 0.01",".146, 0.03, 0.24ct","7",,27017,32775,40036,14151,14560,3109,955,32775
