Handle,Title,10K Weight (g),14K Weight (g),18K Weight (g),Diamond Shapes,Total Diamonds,Diamond Weight (each),Total Diamond Weight,Size,Dimensions,10K Price,14K Price,18K Price,Diamond Price,Gold Price (14K),Making Charge,GST,Total Price (14K)
"vetra-diamond-hoops","Vetra Diamond Hoops",0.722,0.8075,0.95,"Round","16","0.006","0.096ct",,,10329,12815,16379,4812,6287,1342,373,12815
"stella-cluster-hoops","Stella Cluster Hoops",1.8696,2.091,2.46,"Round, Round","8, 18","0.04, 0.012","0.32, 0.216ct",,,25032,30528,39590,10797,16281,2561,889,30528
"the-classic-hoops","The Classic Hoops",3.42,3.825,4.5,"Round","14","0.05","0.7ct",,,34829,46425,63002,10605,29783,4686,1352,46425
"petal-clustered-earrings","Petal Clustered Earrings",1.064,1.19,1.4,"Round","14","0.03","0.42ct",,,15193,18856,24108,7063,9266,1978,549,18856
"the-round-halo-studs","The Round Halo studs",3.116,3.485,4.1,"Round, Round","2, 40","1.25, 0.01","2.5, 0.4ct",,,102214,112779,127883,78090,27135,4269,3285,112779
"the-quadra-halo-studs","the Quadra Halo studs",4.028,4.505,5.3,"Round","2, 40","1.25, 0.012","2.5, 0.480ct",,,99845,113502,133026,69600,35077,5519,3306,113502
"eternal-promise-studs","Eternal Promise Studs",1.216,1.36,1.6,"Round","2","0.61","1.22ct",,,35386,39574,45575,25571,10589,2261,1153,39574
"the-radiant-halo-studs","The Radiant Halo Studs",3.382,3.7825,4.45,"Round","2, 44","1, 0.012","2.0, 0.528ct",,,81166,92633,109026,55850,29452,4634,2698,92633
"signature-emerald-studs","Signature Emerald Studs",1.444,1.615,1.9,"Emerald","2","1.25","2.5ct",,,85652,90625,97752,72725,12575,2685,2640,90625
"heart-solitaire-studs","Heart Solitaire Studs",3.8,4.25,5,"Heart","2","0.75","1.5ct",,,61505,74390,92808,33925,33092,5206,2167,74390
"prism-solitaire-studs","Prism Solitaire Studs",1.1248,1.258,1.48,"Triangle","2","0.65","1.3ct",,,38894,42768,48319,29635,9795,2091,1246,42768
"luna-teardrop-solitaire-earrings","Luna Teardrop Solitaire Earrings",2.318,2.5925,3.05,"Pear","2","1.75","3.5ct",,,120722,128582,139817,101475,20186,3176,3745,128582
"aurora-solitaire-studs","Aurora Solitaire Studs",2.318,2.5925,3.05,"Round","2","2","4ct",,,145828,153688,164924,125850,20186,3176,4476,153688
"the-interlock-bar-bracelet","The interlock bar bracelet",13.68,15.3,18,"EMERALD","42","0.179048","7.52ct","7","4.7*3.3",263573,309955,376261,163054,119131,18743,9028,309955
"the-harmony-line-bracelet","The Harmony Line Bracelet",11.666,13.0475,15.35,"Emerald, pear, oval","5, 11, 5","1.016, 0.64545, 0.66","5.08, 7.1, 3.3ct",,"7*5, 7*5, 7*5",464481,504035,560579,371779,101592,15983,14681,504035
"the-scattered-comet-bracelet","The Scattered Comet Bracelet",1.8316,2.0485,2.41,"ROUND","7","0.11","0.77ct",,"3",26554,31939,40817,12549,15950,2509,930,31939
"the-empress-square-bracelet","The Empress Square Bracelet",18.5288,20.723,24.38,"Princess","31","0.78323","24.28ct",,"5*5",667756,730579,820387,522559,161356,25386,21279,730579
"the-trinity-bloom-bracelet","The Trinity Bloom Bracelet",15.592,17.442,20.52,"Round","62","0.1","6.2ct","7","2.9",200359,253256,328845,88705,135809,21366,7376,253256
"the-constellation-chain","The Constellation Chain",2.1812,2.4395,2.87,"Emerald, Marq, Oval, Pear","3, 4, 4, 4","0.1, 0.1, 0.1, 0.1","0.3, 0.4, 0.4, 0.4ct",,"3*2, 5*2.5, 3.5*2.5, 4*2.5",52971,60366,70938,36625,18995,2988,1758,60366
"the-marquise-trellis-bracelet","The Marquise Trellis Bracelet",10.298,11.5175,13.55,"Marquise","56","0.15","8.4ct","7","5*2.5",259374,294290,344202,181930,89679,14109,8572,294290
"the-grand-line-bracelet","The Grand Line Bracelet",10.0928,11.288,13.28,"Cushion","44","0.1","4.4ct","7","3.5*3.5",169565,203786,252704,96130,87892,13828,5936,203786
"the-focal-cuff-bracelet","The Focal Cuff Bracelet",6.004,6.715,7.9,"Round","21","0.11","2.31ct",,"3",77142,97499,126599,34148,52285,8226,2840,97499
"the-whisper-chain-bracelet","The Whisper Chain Bracelet",3.3288,3.723,4.38,"Round","13","0.11","1.43ct",,"3",45729,57016,73150,21806,28988,4561,1661,57016
"the-duet-stream-bracelet","The Duet- Stream Bracelet",8.512,9.52,11.2,"Oval","79","0.15","11.85ct","7","3*2",323112,351972,393228,255933,74126,11662,10252,351972
"the-blush-box-bracelet","The Blush Box Bracelet",12.7908,14.3055,16.83,"Radiant, Round","32, 448","0.015, 0.005","4.8, 2.24ct","7","3.5*2.5, 1",188400,231768,293764,96106,111387,17524,6751,231768
"the-dawn-glow-bracelet","The Dawn Glow Bracelet",9.614,10.525,12.65,"Round","48","0.146","7.008ct",,"3.3",170243,200727,249437,100037,81951,12893,5846,200727
"the-stella-bracelet","The Stella Bracelet",12.6312,14.127,16.62,"Round","21","0.5","10.5ct","7.5","5",301261,344087,405309,206763,109997,17306,10022,344087
"the-timeless-strand","The Timeless Strand",7.676,8.585,10.1,"Round","30","0.065","1.95ct","6.5","2.5",80867,106893,144098,26418,66846,10517,3113,106893
"luxe-aura-bracelet","Luxe Aura Bracelet",16.796,18.785,22.1,"Round","28","0.85","24.65ct","6.8","6",597847,654795,736203,466445,146266,23012,19072,654795
"the-eternal-glow-bracelet","The Eternal Glow Bracelet",10.602,11.8575,13.95,"Round","47","0.11","5.17ct","6.5","3",150597,186544,237931,74259,92326,14525,5433,186544
"luna-bloom-bracelet","Luna Bloom Bracelet",14.8276,16.5835,19.51,"Round","37","0.3","11.1ct","6.5","4",317677,367950,439818,207794,129124,20315,10717,367950
